"id","name","type","combination_number","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"1433","Bermalas malasan","3D","696-664","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1434","Baca Buku","3D","704-715","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1435","Daun teh","3D","706-741","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1436","Cuci rambut","3D","713-729","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1437","Beras","3D","714-746","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1438","Belinjo","3D","719-712","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1439","Bercumbuan","3D","720-722","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1440","Ban Gembos","3D","729-713","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1441","Anak Angsa","3D","736-733","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1442","Cikar","3D","741-706","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1443","Cabut gigi","3D","745-701","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1444","Cat bibir","3D","747-742","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1445","Bertemu sanak","3D","767-788","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1446","Becak","3D","774-766","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1447","Bertemu","3D","776-790","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1448","Angkut Babi","3D","786-783","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1449","Babi Sakit","3D","787-759","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1450","Berciuman","3D","789-755","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1451","Dengarkan radio","3D","801-845","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1452","Bertapa","3D","806-841","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1453","Batu Gugur","3D","807-808","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1454","Celana dalam","3D","809-837","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1455","Bajak","3D","812-819","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1456","Biksu","3D","819-812","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1457","Betulkan mobil","3D","828-818","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1458","BH","3D","837-809","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1459","Domino","3D","840-826","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1460","Biksu wanita","3D","852-853","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1461","Amplifier","3D","857-858","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1462","Curi ayam","3D","860-882","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1463","Cambah","3D","864-896","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1464","Celana pendek","3D","869-862","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1465","Cukur kumis","3D","871-893","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1466","Anjing Menggigit","3D","879-863","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1467","Berkokok","3D","880-899","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1468","Arloji","3D","882-860","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1469","Daging babi","3D","890-876","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1470","Badminton","3D","891-856","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1471","Dasi kupu kupu","3D","892-897","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1472","Dasi","3D","893-871","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1473","Cermin","3D","895-851","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1474","Dadu","3D","897-892","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1475","Burung laut","3D","898-900","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1476","Cakue","3D","902-903","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1477","Cincin","3D","903-902","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1478","Burung jalak","3D","911-927","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1479","Anak Babi Menyusu","3D","922-920","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1480","Anak Sapi Menyusu","3D","925-935","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1481","Anak Kambing Menyusu","3D","926-940","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1482","Bis","3D","928-918","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1483","Bayi minum obat","3D","929-913","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1484","Cukur rambut","3D","931-944","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1485","Ban","3D","936-933","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1486","Alat Cukur","3D","949-930","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1487","Bayar pajak","3D","951-995","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1488","Bekerja","3D","952-953","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1489","Cuci karet","3D","963-979","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1490","Asapi Karet","3D","964-996","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1491","Cuka","3D","965-954","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1492","Ballpen","3D","973-984","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1493","Apotik","3D","976-990","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1494","Betulkan jalan","3D","978-968","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1495","Betulkan jembatan","3D","979-963","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1496","Penyair - Tapir - Sempritan - Rembulan - Tanggalan - Kumbo KARN0	","2D","00 (97-48-64-98)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1497","Setan-Bandeng-Obor-Jambu Mente-Tangan-BetaraKala","2D","01 (05-95-12-45)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1498","Sarjana - Bekicot - Loncat Tinggi - Wortel - Sandal - Betara Brahma	","2D","02 (16-53-09-35)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1499","Orang Mati - Angsa - Loncat Galah - Sawi - Kaki - Subali	","2D","03 (32-53-85-25)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1500","Kwan in - Merak - Lompat Jauh - Kangkung - Balon - Dewi Ratih	","2D","04 (12-65-05-15)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1501","Kepala Rampok - Singa - Loncat Indah - Kayu Manis - Kereta Api - Guru Langit	","2D","05 (01-89-10-39)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1502","Dewi Bulan - Kelinci - Renang - Kapas - Boneka - Dewi Sri	","2D","06 (20-91-51-41)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1503","Pelayan - Babi - Perahu Layar - Bawang - Pancing - Sulatri	","2D","07 (24-58-57-08)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1504","Maling Kecil - Macan - Motor Boat - Kecubung - Pasar - Tala Maria	","2D","08 (17-57-04-07)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1505","Jendral - Kerbau - Mendayung - Pepaya - Jala - Bima	","2D","09 (33-87-88-37)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1506","Kelenteng - Kelabang - Menyelam - Kelapa - Bir - Sang Pamuji	","2D","10 (18-82-03-32)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1507","Menteri Serakah - Anjing - Lari Cepat - Sapu - Kipas - Sengkuni	","2D","11 (15-77-02-27)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1508","Penasehat Perang - Kuda - Lari Gawang - Lemon - Bola Lampu - Wibisana	","2D","12 (04-69-17-19)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1509","Penjaga Pintu - Gajah - Lari Estafed - Kipas Angin - Keris - Prabu Kesa	","2D","13 (14-79-07-29)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1510","Potong Babi - Onta - Tolak Peluru - Jembatan - Spet (SUNTIKAN) - Jaya Langsuan","2D","14 (13-96-08-46)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1511","Hakim-Tikus-Lempar Martil-Kantor Pos-Skrup-Kresna","2D","15 (11-54-00-04)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1512","Orang Sakit GUDIK - Tawon - Lempar Cakram - Surat - Nanas - Jembawan	","2D","16 (02-74-15-24)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1513","Pemadat - Bangau - Lempar Lembing - Durian - Telepon - Buto Terong	","2D","17 (08-88-13-38)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1514","Kas Uang - Kucing - Polo Air - Lombok - Kantor Polisi - Bisma	","2D","18 (10-78-01-28)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1515","Pelacur Kelas TINGGI - KupuKupu - Sepak Bola - srikaya (sirsat) - Ban Sepeda - Banowati","2D","19 (27-62-54-12)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1516","ISTRI sejati - Lalat - Volly Ball - Palu - Ban Mobil - Setiawati	","2D","20 (06-72-19-22)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1517","Pelacur UMUM - Walet - Bulu TANGKIS - Permen - Kapak - Lesmanawati	","2D","21 (22-93-55-43)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1518","Peti Mati - Capung - Tenis - Terong - Harmonika - Arjuna & Sembadra	","2D","22 (21-70-50-20)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1519","Setan Gantung - Kera - Bola Basket - Pisang - Piano - Wilkampana	","2D","23 (30-84-81-34)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1520","Sumber Air - Katak - Tenis Meja - Sikat GIGI - Padi - Dewa RUCI	","2D","24 (07-66-14-16)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1521","Menantu Raja - Rajawali - Baseball - Jagung - Tapal GIGI - Kangsa DEWA	","2D","25 (35-85-82-03)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1522","Raja - Naga - Hockey - Ganggang - Mesin JAHIT - SamiAji	","2D","26 (31-90-80-40)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1523","Wanita Cantik - Kura KURA - Bola SODOK - Sabun BUBUK - Otak - Dewi Supraba	","2D","27 (19-61-06-11)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1524","Pencari KAYU - Ayam - Menembak - Tomat - Jarum - Nakula	","2D","28 (29-68-56-18)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1525","Pendeta SAKTI - Belut - Panahan - Kursi - Koran - Sidiwacana	","2D","29 (28-63-53-13)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1526","Nelayan - Ikan MAS - Angkat BESI - Belimbing - WC - Naga TATMALA	","2D","30 (23-99-58-49)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1527","Kelamin - Udang - Senam - Cacing Pita - Sangkar Burung - Yuyu Rumpung	","2D","31 (26-94-59-44)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1528","Ahli NUJUM - Ular - Yudo - Kamar Mandi - Tali - AbiYASA	","2D","32 (03-60-18-10)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1529","Pengemis - Laba LABA - Gulat - Gigi - Sabun - Petruk	","2D","33 (09-86-16-36)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1530","Orang BUTA - Rusa - Silat - Jamu - Paru PARU - Destarata	","2D","34 (36-73-89-23)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1531","Wanita - KAMBING - Tinju - Lambung - Jalan JALAN - Drupadi	","2D","35 (25-75-52-02)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1532","Pendeta WANITA - Musang - Balap SEPEDA - MANGGIS - Rumah Obat - SayemPraba	","2D","36 (34-83-87-33)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1533","Orang BONGKOK - Ikan GAbus - Balap MOBIL - Anggur - BH - Truk - Gareng	","2D","37 (38-59-83-09)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1534","Putri RAJA - Cendrawasih - Balap SEPEDA motor - Engsel - Drum - Untari	","2D","38 (37-67-84-17)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1535","Kekasih - Kalajengking - Balap KUDA - Topi - Bemo - Narasuma	","2D","39 (44-55-77-05)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1536","Penolong - Glatik - Golf - Tang - Peci - Widura	","2D","40 (43-76-78-26)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1537","Pahlawan - Kepiting - Lompat KUDA - Lilin - Sabuk - Warsaya	","2D","41 (49-56-76-06)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1538","Jejaka TUA - Buaya - Gerak JALAN - Catur - Dokter - Lesmana WIDAKTA	","2D","42 (45-97-72-47)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1539","JANDA muda (Rondho) - Ikan SURO - Anggar - Mawar - Grendel - SumbaDRA","2D","43 (40-71-41-21)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1540","Berandal - Badak - SkiAIR - Seruling - Sisir - Citraksa	","2D","44 (39-81-86-31)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1541","Pengembara - Banteng - Terbang LAyang - Kendi - Tas - Rama	","2D","45 (42-51-75-01)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1542","Nenek MOYANG - Orang UTAN - Terjun BEBAS - Sikat - Toko - Hyang WENANG	","2D","46 (48-64-73-14)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1543","Banci - Zebra - Upacara BENDERA - Tangga - Hotel - Stuna	","2D","47 (50-92-21-42)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1544","Si CEROBOH - Landak - Main CATUR - Garuk - Gedung BIOSKOP - Dasamuka	","2D","48 (46-00-79-50)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1545","Drakula - Kelelawar - Mendaki GUNUNG - Cetok - Rok - Betari DURGA	","2D","49 (41-80-70-30)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1546","Orang ESKIMO - Beruang - Pembawa OBOR - Pacul - Guru - Bagong	","2D","50 (47-98-74-48)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1547","Ahli FILSAFAT - Kerang - Pate LELE - Tebu - Celana - Narodo	","2D","51 (55-45-22-95)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1548","Raja LAUT - Ikan PAUS - Main Tali - Matahari - Dompet - Antasena	","2D","52 (66-03-99-85)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1549","Penjual SILAT - Ikan DURI - Akrobat - Rambutan - Taxi - AbiMANYU	","2D","53 (82-02-35-52)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1550","RAJA kera - Ikan LELE - SEPATU roda - Kalung - Dokar - Kera HANOMAN	","2D","54 (62-15-95-65)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1551","Pertapa - Kanguru - Kasti - Gelang - Kemaron - RDseta	","2D","55 (51-39-20-89)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1552","Budak - Ikan DUYUNG - BERINGEN - Kenanga - Cikar - Limbuk	","2D","56 (70-41-71-91)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1553","Anak SAKTI - Ulat SUTRA - LAYANG layang - Sepatu - Ranjang - Gatot KACA	","2D","57 (74-08-47-58)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1554","Penari - Cumi CUMI - Main KELERENG - RUMAH - Sekolahan - Selir	","2D","58 (67-07-94-57)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1555","Putra RAJA - KakakTUA - DAKON - Kedondong - Kaos - RD lesmana	","2D","59 (83-37-38-87)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1556","Kepala POLISI - Cecak - Karambol - Delima - Handuk - Sentiyaki	","2D","60 (68-32-93-82)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1557","Pedagang - Kecoak - Gendongan - Kaca MATA - BUKU - BalaDEWA	","2D","61 (65-27-92-77)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1558","Pagoda - Walang KADUNG - Petan - Termos - Selendang PELANGI - CANDI sapta ARGA	","2D","62 (54-19-27-69)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1559","Pendekar WANITA - Kumbang - trek SANDO - Bantal - Jendela - Larasati	","2D","63 (64-29-97-79)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1560","Dewa UANG - Kuda LAUT - Bandulan - Apel - Guling - Betara INDRA	","2D","64 (63-46-98-96)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1561","Raja SETAN - IKAN hiu - Kayang - Klompen - Petromak - Kala SRINGGI	","2D","65 (61-04-90-54)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1562","Dewa BUMI - Jerapah - Sawatan - Sukun - Gelas - Anta BOGA	","2D","66 (52-24-25-74)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1563","Penjual DAGING - Burung ONTA - Egrang - Sendok - Korek API - ABILAWA	","2D","67 (58-38-23-88)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1564","Pembuat PEDANG - Burung HANTU - Panjat PINANG - Pisau - Garbu - Cepot	","2D","68 (60-28-91-78)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1565","Pencari JEJAK - MIMI - Engklek - Gunting - Gunung - AntaREJA	","2D","69 (77-12-44-62)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1566","Palingma - Keledai - Tarik TAMBANG - Lampu MINYAK - Rumah MAKAN - Adipati KARNA	","2D","70 (56-22-29-72)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1567","Pemburu - Macan TUTUL - Lempar KARET - Sumur - Baju - Pandu	","2D","71 (72-43-45-93)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1568","Dewa LANGIT - Ikan TERBANG - Okol - Kran AIR - ARLOJI - Betara Guru	","2D","72 (71-20-40-70)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1569","Tuan TANAH - Semut - Tulupan - Anting Anting - Bintang - Dursasana	","2D","73 (80-34-31-84)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1570","Bajak LAUT - Pinguin - Setipan - Gentong - Radio - Indrajit	","2D","74 (57-16-24-66)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1571","Suami ISTRI - Bebek - Balapan LARI - Nangka - Lemari - Ratih & Kamajaya	","2D","75 (85-35-32-53)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1572","Jendral WANITA - Nyamuk - Teplekan - Mata - Timbangan - Srikandi	","2D","76 (81-40-30-90)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1573","Walikota - Penyu - Bengkel - Cincin - Payung - Togog	","2D","77 (69-11-96-61)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1574","Orang KAYA - Ikan GERGAJI - Balap BECAK - Semangka - Wajan - Lesmana MandraKumala	","2D","78 (79-18-46-68)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1575","Jendral SERAKAH - Orong ORONG - Okol - Jeruk BALI - kompor - suyudana	","2D","79 (78-13-43-63)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1576","Kepala DESA - Bajing - Apolo - potlot - Ceret - Semar	","2D","80 (73-49-48-99)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1577","Penipu - Kancil - Damdaman - Hidung - Cangkir - AswaTAMA	","2D","81 (76-44-49-94)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1578","Gembala - Kuda NIL - AS - Telinga - Berlian - Udawa	","2D","82 (53-10-28-60)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1579","Ibu SURI - Ikan LAYUR - DADU - Kumis - Pipa - Dewi KUNTI	","2D","83 (59-36-26-86)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1580","Budha - Kalkun - Salto - Mulut - Kacang TANAH - Bagaspati	","2D","84 (86-23-39-73)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1581","Wanita SIHIR - Jangkrik - Latihan HANSIP - Teratai - Pintu - Sarpa KENAKA	","2D","85 (75-25-42-52)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1582","Dewa MAUT - Ikan SAMPAN - Gerak BADAN - Salak - Rokok - Yamadipati	","2D","86 (86-33-37-83)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1583","Orang GILA - Betet - Kerja BAKTI - Botol - Toilet - Buriswara	","2D","87 (88-09-33-59)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1584","Dewi MEGA - DOMBA - Balap KARUNG - JERUK manis - piring - Wilutama	","2D","88 (87-17-34-67)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1585","Pemabuk - Ikan BENDERA - Setopan - Jeruk KEPROK - EMBER - Bomanarakasura	","2D","89 (94-05-67-55)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1586","Tawanan - Trenggiling - Perempatan JALAN - PIL - Sawah - Shinta	","2D","90 (93-26-68-76)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1587","Siluman AIR - SERIGALA - Ambulan - Bambu - Toples - Witaksini	","2D","91 (99-06-66-56)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1588","Putri KIPAS besi - Ikan TENGIRI - Garis FINISH - Apokat - Sarung - Siti SUNDARI	","2D","92 (95-47-62-97)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1589","Penjilat - Babi HUTAN - Perahu LAYAR - Kaos KAKI - LAPANGAN - Durna	","2D","93 (90-21-61-71)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1590","Kwan KONG - Ikan KAKAP - Pemandian - Jambu - Pen - P.Salya	","2D","94 (89-31-36-81)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1591","Petani - Perkutut - Jalan RAYA - Kunci - Pisau CUKUR - Irawan	","2D","95 (92-01-65-51)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1592","Prajurit - Ikan NUS - Laut - Mangga - Minyak ANGIN - CITRAYUDA	","2D","96 (98-14-63-64)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1593","RAKSASA - TOKEK - Kali BRANTAS - SIRSAT - Lemari ES - PRAHASTA	","2D","97 (00-42-11-92)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1594","Penjaga MALAM - Tongkol - TV - Lengkeng - Kecelakaan - Trijati	","2D","98 (96-50-69-00)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
"1595","Hidung BELANG - Burung JALAK - BAYI - Kodak - Meja - Arjuna	","2D","99 (91-30-60-80)","1",NULL,NULL,"2021-10-08 17:21:19",NULL,NULL
